benchmark,jobs,infra,initial_divides,online_divides,initial_timeout,timeout_factor,timeout,future_mode,trial,painless_mode,duration,result,family,start_time,end_time,hostname
rbcl_xits_09_UNK,8,gg_local,3,2,5.0,1.5,3600,False,0,default,3600.0044713020325,TIMEOUT,cnc,1598872202.7923796,1598875803.3052783,benchexec
gto_p60c231.cnf.bz2,8,gg_local,3,2,5.0,1.5,3600,False,0,default,20.802899837493896,UNSAT,easy,1598886627.3274257,1598886648.6094773,benchexec
eq.atree.braun.12,8,plingeling,3,2,5.0,1.5,3600,False,0,default,1544.9614329338074,UNSAT,cnc,1598854648.7595425,1598856193.7255733,benchexec
9dlx_vliw_at_b_iq9,8,gg_local,3,2,5.0,1.5,3600,False,0,default,3600.0766763687134,TIMEOUT,cnc,1598848310.3573253,1598851914.623127,benchexec
Problem14_label19_true_unreach_call.c.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,dnc,98.33287930488586,UNSAT,easy,1598887911.7187598,1598888014.5937362,benchexec
gss_26_s100,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.1021115779877,TIMEOUT,cnc,1598863396.414244,1598866996.520086,benchexec
Problem14_label20_true_unreach_call.c.cnf.bz2,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.0427765846252,TIMEOUT,easy,1598887969.716517,1598891576.459219,benchexec
gss_26_s100,8,painless,0,2,5.0,1.5,3600,False,0,dnc,3600.009635925293,TIMEOUT,cnc,1598864652.7440126,1598868252.757589,benchexec
Problem14_label20_true_unreach_call.c.cnf.bz2,1,cadical,0,2,5.0,1.5,3600,False,0,default,12.294034957885742,UNSAT,easy,1598888083.0860608,1598888095.384466,benchexec
rpoc_xits_09_UNS,8,painless,0,2,5.0,1.5,3600,False,0,default,3600.015837430954,TIMEOUT,cnc,1598875804.8809226,1598879404.9010606,benchexec
gto_p60c231.cnf.bz2,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,28.377503633499146,UNSAT,easy,1598886613.9345484,1598886642.322883,benchexec
rpoc_xits_09_UNS,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.1028146743774,TIMEOUT,cnc,1598875455.4099996,1598879055.516971,benchexec
dated_5_19_u,8,plingeling,3,2,5.0,1.5,3600,False,0,default,767.6324849128723,UNSAT,cnc,1598852779.448252,1598853547.085247,benchexec
gto_p60c241.cnf.bz2,8,gg_local,3,2,5.0,1.5,3600,False,0,default,42.90061020851135,UNSAT,easy,1598887350.728598,1598887394.109478,benchexec
cms_scheel_md4_families_r24_c6_p2_4_9_16_17_19.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,dnc,3472.6775777339935,UNSAT,easy,1598885129.7471838,1598888602.553573,benchexec
Problem14_label20_true_unreach_call.c.cnf.bz2,8,gg_local,3,2,5.0,1.5,3600,False,0,default,3600.0029571056366,TIMEOUT,easy,1598888015.3850007,1598891625.4102254,benchexec
total_5_15_u,1,cadical,0,2,5.0,1.5,3600,False,0,default,3600.0031044483185,TIMEOUT,cnc,1598884187.684497,1598887787.6922927,benchexec
Problem14_label55_true_unreach_call.c.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,dnc,116.12539410591125,UNSAT,easy,1598888682.0919266,1598888804.8933733,benchexec
total_5_15_u,8,gg_local,3,2,5.0,1.5,3600,False,0,default,3600.0038135051727,TIMEOUT,cnc,1598881666.2290468,1598885267.1522355,benchexec
